ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000009.SZ,20251218,9.79,0.7436,0.66,146.2736,358.2736,2.5055,2525050.4717,2521924.0352
000009.SZ,20251217,9.94,0.9472,0.85,148.5147,363.763,2.5439,2563738.6812,2560564.3422
000009.SZ,20251216,9.8,1.3375,1.31,146.423,358.6396,2.508,2527629.6857,2524500.0557
000009.SZ,20251215,10.04,1.4756,1.53,150.0088,367.4226,2.5694,2589530.8209,2586324.5469
000009.SZ,20251212,10.29,1.2063,1.24,153.7441,376.5716,2.6334,2654011.17,2650725.0585
000009.SZ,20251211,10.22,0.6959,0.73,152.6982,374.0098,2.6155,2635956.6722,2632692.9152
000009.SZ,20251210,10.29,0.8566,0.89,153.7441,376.5716,2.6334,2654011.17,2650725.0585
000009.SZ,20251209,10.26,0.8755,0.89,153.2959,375.4737,2.6257,2646273.5281,2642996.9971
000009.SZ,20251208,10.39,1.1944,1.08,155.2382,380.2311,2.659,2679803.3096,2676485.2631
000009.SZ,20251205,10.25,1.2264,1.16,153.1465,375.1077,2.6232,2643694.3141,2640420.9766
000009.SZ,20251204,10.0,0.6314,0.5,149.4112,365.9587,2.5592,2579213.965,2576020.465
000009.SZ,20251203,10.05,0.8864,0.66,150.1583,367.7885,2.572,2592110.0348,2588900.5673
000009.SZ,20251202,10.11,0.9857,0.71,151.0547,369.9843,2.5874,2607585.3186,2604356.6901
000009.SZ,20251201,10.24,1.8215,1.38,152.9971,374.7418,2.6206,2641115.1002,2637844.9562
000009.SZ,20251128,10.12,0.9448,0.57,151.2041,370.3503,2.5899,2610164.5326,2606932.7106
000009.SZ,20251127,10.12,1.6886,0.97,151.2041,370.3503,2.5899,2610164.5326,2606932.7106
000009.SZ,20251126,9.89,1.2266,0.64,147.7677,361.9332,2.5311,2550842.6114,2547684.2399
000009.SZ,20251125,10.08,1.2907,0.56,150.6065,368.8864,2.5797,2599847.6767,2596628.6287
000009.SZ,20251124,9.91,1.4576,0.53,148.0665,362.6651,2.5362,2556001.0393,2552836.2808
000009.SZ,20251121,10.02,2.6466,1.03,149.71,366.6907,2.5643,2584372.3929,2581172.5059
000009.SZ,20251120,10.93,2.0494,0.75,163.3064,399.9929,2.7972,2819080.8637,2815590.3682
000009.SZ,20251119,11.03,2.194,0.82,164.8006,403.6525,2.8228,2844873.0034,2841350.5729
000009.SZ,20251118,11.08,3.1091,1.29,165.5476,405.4823,2.8356,2857769.0732,2854230.6752
000009.SZ,20251117,11.43,3.6869,1.77,170.777,418.2909,2.9252,2948041.562,2944391.3915
000009.SZ,20251114,11.17,1.8234,0.84,166.8923,408.7759,2.8586,2880981.9989,2877414.8594
000009.SZ,20251113,11.39,2.9365,1.61,170.1794,416.827,2.9149,2937724.7061,2934087.3096
000009.SZ,20251112,11.01,1.8864,1.03,164.5017,402.9206,2.8177,2839714.5755,2836198.532
000009.SZ,20251111,11.32,1.6913,0.95,169.1335,414.2653,2.897,2919670.2084,2916055.1664
000009.SZ,20251110,11.25,2.0714,1.16,168.0876,411.7036,2.8791,2901615.7106,2898023.0231
000009.SZ,20251107,11.19,2.2302,1.12,167.1911,409.5078,2.8638,2886140.4268,2882566.9003
000009.SZ,20251106,10.95,1.2606,0.59,163.6053,400.7248,2.8023,2824239.2917,2820742.4092
000009.SZ,20251105,10.97,1.9036,0.88,163.9041,401.4567,2.8075,2829397.7196,2825894.4501
000009.SZ,20251104,10.9,1.473,0.69,162.8582,398.895,2.7895,2811343.2219,2807862.3069
000009.SZ,20251103,11.19,2.0822,1.01,167.1911,409.5078,2.8638,2886140.4268,2882566.9003
000009.SZ,20251031,11.46,3.2253,1.83,171.2252,419.3887,2.9329,2955779.2039,2952119.4529
000009.SZ,20251030,11.17,2.0094,1.04,166.8923,130.5856,2.8687,2880981.9989,2877414.8594
000009.SZ,20251029,11.22,1.9814,1.14,167.6394,131.1701,2.8815,2893878.0687,2890294.9617
000009.SZ,20251028,10.8,1.4039,0.79,161.3641,126.26,2.7736,2785551.0822,2782102.1022
000009.SZ,20251027,10.89,1.6898,0.99,162.7088,127.3122,2.7968,2808764.0079,2805286.2864
000009.SZ,20251024,10.97,1.7507,0.99,163.9041,128.2474,2.8173,2829397.7196,2825894.4501
000009.SZ,20251023,11.01,2.8346,1.91,164.5017,128.7151,2.8276,2839714.5755,2836198.532
000009.SZ,20251022,10.73,1.0123,0.6,160.3182,125.4417,2.7557,2767496.5844,2764069.9589
000009.SZ,20251021,10.94,1.6514,0.86,163.4559,127.8967,2.8096,2821660.0777,2818166.3887
000009.SZ,20251020,10.86,1.3009,0.59,162.2606,126.9614,2.789,2801026.366,2797558.225
000009.SZ,20251017,10.8,2.0828,0.85,161.3641,126.26,2.7736,2785551.0822,2782102.1022
000009.SZ,20251016,11.46,1.3865,0.48,171.2252,133.9759,2.9431,2955779.2039,2952119.4529
000009.SZ,20251015,11.6,2.071,0.58,173.317,135.6126,2.9791,2991888.1994,2988183.7394
000009.SZ,20251014,11.42,2.7693,0.68,170.6276,133.5083,2.9329,2945462.348,2941815.371
000009.SZ,20251013,11.89,2.6894,0.61,177.6499,139.0029,3.0536,3066685.4044,3062888.3329
000009.SZ,20251010,12.15,3.3065,0.61,181.5346,142.0425,3.1203,3133744.9675,3129864.865
000009.SZ,20251009,12.29,3.717,0.68,183.6264,143.6792,3.1563,3169853.963,3165929.1515
000009.SZ,20250930,12.46,5.3124,1.12,186.1664,145.6666,3.2,3213700.6004,3209721.4994
000009.SZ,20250929,12.02,5.4361,1.41,179.5923,140.5227,3.087,3100215.1859,3096376.5989
000009.SZ,20250926,11.69,4.211,1.28,174.6617,136.6648,3.0022,3015101.1251,3011367.9236
000009.SZ,20250925,12.08,8.4749,4.21,180.4887,141.2242,3.1024,3115690.4697,3111832.7217
000009.SZ,20250924,11.32,3.8154,2.39,169.1335,132.3392,2.9072,2919670.2084,2916055.1664
000009.SZ,20250923,10.29,1.737,1.05,153.7441,120.2977,2.6427,2654011.17,2650725.0585
000009.SZ,20250922,10.21,1.1036,0.52,152.5488,119.3625,2.6221,2633377.4583,2630116.8948
000009.SZ,20250919,10.36,1.3417,0.47,154.79,121.1161,2.6606,2672065.6677,2668757.2017
000009.SZ,20250918,10.41,2.0622,0.71,155.5371,121.7006,2.6735,2684961.7376,2681637.3041
000009.SZ,20250917,10.68,1.7511,0.57,159.5712,124.8571,2.7428,2754600.5146,2751189.8566
000009.SZ,20250916,10.83,2.047,0.59,161.8123,126.6107,2.7813,2793288.7241,2789830.1636
000009.SZ,20250915,10.91,3.3241,0.85,163.0076,127.546,2.8019,2813922.4358,2810438.3273
000009.SZ,20250912,11.38,5.2293,1.45,170.0299,133.0406,2.9226,2935145.4922,2931511.2892
000009.SZ,20250911,10.97,2.1058,0.58,163.9041,128.2474,2.8173,2829397.7196,2825894.4501
000009.SZ,20250910,10.98,2.719,0.79,164.0535,128.3643,2.8199,2831976.9336,2828470.4706
000009.SZ,20250909,11.2,3.9913,1.28,167.3405,130.9363,2.8764,2888719.6408,2885142.9208
000009.SZ,20250908,11.19,5.4332,2.31,167.1911,130.8194,2.8738,2886140.4268,2882566.9003
000009.SZ,20250905,10.3,3.7325,1.73,153.8935,120.4146,2.6452,2656590.384,2653301.079
000009.SZ,20250904,9.76,2.298,1.19,145.8253,114.1016,2.5065,2517312.8298,2514195.9738
000009.SZ,20250903,9.79,1.7157,0.93,146.2736,114.4524,2.5143,2525050.4717,2521924.0352
000009.SZ,20250902,9.86,2.38,1.56,147.3194,115.2707,2.5322,2543104.9695,2539956.1785
000009.SZ,20250901,9.74,1.6432,1.13,145.5265,113.8678,2.5014,2512154.4019,2509043.9329
000009.SZ,20250829,9.8,2.7644,2.56,146.423,114.5693,2.5168,2527629.6857,2524500.0557
000009.SZ,20250828,9.45,1.171,1.09,141.1936,90.1288,2.4306,2437357.1969,2434339.3394
000009.SZ,20250827,9.43,1.2731,1.19,140.8948,89.9381,2.4254,2432198.769,2429187.2985
000009.SZ,20250826,9.56,0.7816,0.69,142.8371,91.178,2.44,2465728.5505,2462675.5645
000009.SZ,20250825,9.59,1.2649,1.04,143.2853,91.4641,2.4477,2473466.1924,2470403.6259
000009.SZ,20250822,9.52,0.9008,0.71,142.2395,90.7965,2.4298,2455411.6947,2452371.4827
