ts_code,name,industry,list_date,market
000762.SZ,西藏矿业,小金属,19970708,主板
000766.SZ,通化金马,化学制药,19970430,主板
000767.SZ,晋控电力,火力发电,19970609,主板
000768.SZ,中航西飞,航空,19970626,主板
000776.SZ,广发证券,证券,19970611,主板
000777.SZ,中核科技,机械基件,19970710,主板
000778.SZ,新兴铸管,钢加工,19970606,主板
000779.SZ,甘咨询,建筑工程,19970528,主板
000782.SZ,恒申新材,化纤,19970619,主板
000783.SZ,长江证券,证券,19970731,主板
000785.SZ,居然智家,百货,19970711,主板
000786.SZ,北新建材,其他建材,19970606,主板
000788.SZ,北大医药,化学制药,19970616,主板
000789.SZ,万年青,水泥,19970923,主板
000790.SZ,华神科技,中成药,19980327,主板
000791.SZ,甘肃能源,水力发电,19971014,主板
000792.SZ,盐湖股份,农药化肥,19970904,主板
000795.SZ,英洛华,矿物制品,19970808,主板
000796.SZ,凯撒旅业,旅游服务,19970703,主板
000797.SZ,中国武夷,全国地产,19970715,主板
000798.SZ,中水渔业,渔业,19980212,主板
000799.SZ,酒鬼酒,白酒,19970718,主板
000800.SZ,一汽解放,汽车整车,19970618,主板
000801.SZ,四川九洲,家用电器,19980506,主板
000802.SZ,北京文化,影视音像,19980108,主板
000803.SZ,山高环能,环境保护,19980303,主板
000807.SZ,云铝股份,铝,19980408,主板
000809.SZ,和展能源,电气设备,19980616,主板
000810.SZ,创维数字,家用电器,19980602,主板
000811.SZ,冰轮环境,工程机械,19980528,主板
000812.SZ,陕西金叶,广告包装,19980623,主板
000813.SZ,德展健康,化学制药,19980519,主板
000815.SZ,美利云,通信设备,19980609,主板
000816.SZ,智慧农业,农用机械,19970818,主板
000818.SZ,航锦科技,化工原料,19971017,主板
000819.SZ,岳阳兴长,石油加工,19970625,主板
000822.SZ,山东海化,化工原料,19980703,主板
000823.SZ,超声电子,元器件,19971008,主板
000825.SZ,太钢不锈,特种钢,19981021,主板
000828.SZ,东莞控股,路桥,19970617,主板
000829.SZ,天音控股,其他商业,19971202,主板
000830.SZ,鲁西化工,化工原料,19980807,主板
000831.SZ,中国稀土,小金属,19980911,主板
000833.SZ,粤桂股份,综合类,19981111,主板
000837.SZ,秦川机床,机床制造,19980928,主板
000839.SZ,国安股份,综合类,19971031,主板
000848.SZ,承德露露,软饮料,19971113,主板
000850.SZ,华茂股份,纺织,19981007,主板
000852.SZ,石化机械,化工机械,19981126,主板
000856.SZ,冀东装备,专用机械,19980813,主板
000858.SZ,五粮液,白酒,19980427,主板
000859.SZ,国风新材,塑料,19981119,主板
000860.SZ,顺鑫农业,白酒,19981104,主板
000862.SZ,银星能源,新型电力,19980915,主板
000863.SZ,三湘印象,区域地产,19970925,主板
000868.SZ,安凯客车,汽车整车,19970725,主板
000869.SZ,张裕Ａ,红黄酒,20001026,主板
000875.SZ,电投绿能,火力发电,20020926,主板
000876.SZ,新希望,饲料,19980311,主板
000877.SZ,天山股份,水泥,19990107,主板
000878.SZ,云南铜业,铜,19980602,主板
000880.SZ,潍柴重机,专用机械,19980402,主板
000881.SZ,中广核技,化工原料,19980902,主板
000882.SZ,华联股份,其他商业,19980616,主板
000883.SZ,湖北能源,水力发电,19980519,主板
000885.SZ,城发环境,环境保护,19990319,主板
000886.SZ,海南高速,区域地产,19980123,主板
000887.SZ,中鼎股份,汽车配件,19981203,主板
000888.SZ,峨眉山Ａ,旅游景点,19971021,主板
000889.SZ,中嘉博创,通信设备,19971218,主板
000890.SZ,法尔胜,环境保护,19990119,主板
000892.SZ,欢瑞世纪,影视音像,19990115,主板
000893.SZ,亚钾国际,农药化肥,19981224,主板
000895.SZ,双汇发展,食品,19981210,主板
001896.SZ,豫能控股,火力发电,19980122,主板
000897.SZ,津滨发展,区域地产,19990422,主板
000898.SZ,鞍钢股份,普钢,19971225,主板
000899.SZ,赣能股份,火力发电,19971126,主板
000900.SZ,现代投资,路桥,19990128,主板
000901.SZ,航天科技,汽车配件,19990401,主板
000902.SZ,新洋丰,农药化肥,19990408,主板
000905.SZ,厦门港务,港口,19990429,主板
000906.SZ,浙商中拓,仓储物流,19990707,主板
000910.SZ,大亚圣象,家居用品,19990630,主板
000912.SZ,泸天化,农药化肥,19990603,主板
000913.SZ,钱江摩托,摩托车,19990514,主板
000915.SZ,华特达因,化学制药,19990609,主板
000917.SZ,电广传媒,广告包装,19990325,主板
000919.SZ,金陵药业,化学制药,19991118,主板
000920.SZ,沃顿科技,塑料,19990616,主板
000921.SZ,海信家电,家用电器,19990713,主板
000922.SZ,佳电股份,电气设备,19990618,主板
000923.SZ,河钢资源,普钢,19990714,主板
000925.SZ,众合科技,运输设备,19990611,主板
000926.SZ,福星股份,区域地产,19990618,主板
000927.SZ,中国铁物,仓储物流,19990727,主板
000928.SZ,中钢国际,建筑工程,19990312,主板
000930.SZ,中粮科技,农业综合,19990712,主板
000931.SZ,中关村,化学制药,19990712,主板
000932.SZ,华菱钢铁,普钢,19990803,主板
